0.01,Up,20,40,130600,8,-0.4,676,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130630,6,-0.5,657,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130645,8,-0.5,655,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130715,6,-0.5,644,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130730,8,-0.5,640,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130745,8,-0.5,640,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130815,7,-0.5,622,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130830,8,-0.5,627,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130845,7,-0.5,623,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130900,8,-0.5,629,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130915,7,-0.5,621,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,130930,7,-0.5,627,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131000,6,-0.5,615,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131015,7,-0.5,627,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131030,5,-0.5,623,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131045,6,-0.5,616,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131100,6,-0.5,621,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131145,9,-0.5,596,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131200,8,-0.5,594,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131230,8,-0.5,587,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131245,8,-0.5,585,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131315,8,-0.5,571,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131330,9,-0.5,579,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131345,8,-0.5,573,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131400,8,-0.5,569,+,IU7GTP,N6LZ,R-15
0.01,Up,20,40,131430,7,-0.4,558,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132030,7,-0.3,708,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132045,9,-0.3,692,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132100,10,-0.3,677,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132115,9,-0.3,671,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132145,9,-0.3,663,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132200,9,-0.3,658,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132215,9,-0.3,648,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132230,10,-0.3,640,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132245,9,-0.3,640,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132300,8,-0.3,626,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132315,7,-0.3,623,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132330,7,-0.3,626,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132345,9,-0.3,612,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132415,8,-0.4,620,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132430,6,-0.3,617,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132445,5,-0.4,627,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132500,5,-0.3,622,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132515,9,-0.3,614,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132530,9,-0.3,619,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132545,8,-0.3,606,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132600,9,-0.3,614,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132615,9,-0.3,615,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132630,7,-0.3,622,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132645,9,-0.3,612,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132700,7,-0.3,613,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132715,8,-0.3,611,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132730,7,-0.3,610,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132745,9,-0.3,600,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132800,9,-0.3,601,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132815,8,-0.3,599,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132830,8,-0.3,601,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132845,10,-0.3,603,+,IU7GTP,N6LZ,R-15
0.01,Right,20,40,132900,4,-0.3,604,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133315,9,0.1,844,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133415,8,0.1,779,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133430,8,0.1,752,+,IU7GTP,N6LZ,R-15
0.01,Down,20,40,133445,8,0.1,742,+,IU7GTP,N6LZ,R-15
